min/max,selection,crossover,mutation,x1,x2,best,mean,std,params
min,roulette,two_point,flip_bit,-0.5647530555725098,-1.5486583709716797,-1.9128079075685767,34.275913680727655,15.120693170269616,"Min/max: min, Selection: roulette, Crossover: two_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
max,best,one_point,shuffle_indexes,-1.4998059272766113,3.997776985168457,44.06766561821243,6.431618883560022,9.135187569003175,"Min/max: max, Selection: best, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
max,best,one_point,flip_bit,-1.4954681396484375,3.9861879348754883,43.86310640953503,7.425084145116327,9.563989385274311,"Min/max: max, Selection: best, Crossover: one_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
max,best,two_point,shuffle_indexes,-1.4979753494262695,3.9977035522460938,44.04239836561261,6.250629724771142,9.701002137671153,"Min/max: max, Selection: best, Crossover: two_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
max,best,two_point,flip_bit,-1.4999370574951172,3.9930038452148438,44.00882717425072,6.199353183761206,8.430394732264434,"Min/max: max, Selection: best, Crossover: two_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
max,tournament,one_point,shuffle_indexes,-1.5,3.999993324279785,44.098387370122914,37.466909458121926,14.106292884748518,"Min/max: max, Selection: tournament, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
max,tournament,one_point,flip_bit,-1.5,3.999993324279785,44.098387370122914,35.31313263112477,16.040376453016115,"Min/max: max, Selection: tournament, Crossover: one_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
max,tournament,two_point,shuffle_indexes,-1.5,3.9998865127563477,44.097030994920544,38.5385548372708,12.822501825076722,"Min/max: max, Selection: tournament, Crossover: two_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
max,tournament,two_point,flip_bit,-1.5,3.9999866485595703,44.098302596204334,36.131130870353815,15.390956854105957,"Min/max: max, Selection: tournament, Crossover: two_point, 
Mutation: flip_bit, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
max,random,one_point,shuffle_indexes,-1.4734487533569336,3.9997663497924805,43.74285572969667,8.249028024988291,7.7752469734456255,"Min/max: max, Selection: random, Crossover: one_point, 
Mutation: shuffle_indexes, Population: 100, Probability mutation: 
0.2, Probability crossover: 0.8, Number of epochs: 200 "
